date,total_recovered
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,0.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,3.0
,3.0
,1.0
,3.0
,2.0
,2.0
,3.0
,7.0
,7.0
,9.0
,11.0
,15.0
,17.0
,21.0
,21.0
,24.0
,27.0
,33.0
,38.0
,42.0
,44.0
,49.0
,54.0
,54.0
,56.0
,56.0
,61.0
,63.0
,68.0
,77.0
,86.0
,96.0
,98.0
,102.0
,105.0
,107.0
,109.0
,118.0
,120.0
,126.0
,134.0
,136.0
,154.0
,162.0
,172.0
,184.0
,194.0
,213.0
,215.0
,232.0
,240.0
,260.0
,321.0
,343.0
,366.0
,382.0
,445.0
,477.0
,520.0
,538.0
,559.0
,569.0
,584.0
,604.0
,620.0
,660.0
,674.0
,695.0
,712.0
,732.0
,745.0
,754.0
,781.0
,801.0
,811.0
,823.0
,836.0
,839.0
,858.0
,891.0
,941.0
,990.0
,1057.0
,1122.0
,1150.0
,1196.0
,1252.0
,1287.0
,1342.0
,1371.0
,1397.0
,1421.0
,1446.0
,1472.0
,1498.0
,1526.0
,1548.0
,1562.0
,1602.0
,1619.0
,1639.0
,1661.0
,1678.0
,1711.0
,1748.0
,1827.0
,1863.0
,1885.0
,1903.0
,1917.0
,1955.0
,1967.0
,1979.0
,1980.0
,1980.0
,1981.0
,1981.0
,1988.0
,2001.0
,2007.0
,2012.0
,2023.0
,2035.0
,2041.0
,2048.0
,2064.0
,2077.0
,2094.0
,2103.0
,2106.0
,2121.0
20200127.0,
20200128.0,
20200129.0,
20200130.0,
20200131.0,
20200201.0,
20200202.0,
20200203.0,
20200204.0,
20200205.0,
20200206.0,
20200207.0,
20200208.0,
20200209.0,
20200210.0,
20200211.0,
20200212.0,
20200213.0,
20200214.0,
20200215.0,
20200216.0,
20200217.0,
20200218.0,
20200219.0,
20200220.0,
20200221.0,
20200222.0,
20200223.0,
20200224.0,
20200225.0,
20200226.0,
20200227.0,
20200228.0,
20200229.0,
20200301.0,
20200302.0,
20200303.0,
20200304.0,
20200305.0,
20200306.0,
20200307.0,
20200308.0,
20200309.0,
20200310.0,
20200311.0,
20200312.0,
20200313.0,
20200314.0,
20200315.0,
20200316.0,
20200317.0,
20200318.0,
20200319.0,
20200320.0,
20200321.0,
