date,new_cases
20200127,1.0
20200128,0.0
20200129,0.0
20200130,0.0
20200131,0.0
20200201,0.0
20200202,0.0
20200203,0.0
20200204,0.0
20200205,0.0
20200206,0.0
20200207,0.0
20200208,0.0
20200209,0.0
20200210,0.0
20200211,0.0
20200212,0.0
20200213,0.0
20200214,0.0
20200215,0.0
20200216,0.0
20200217,0.0
20200218,0.0
20200219,0.0
20200220,0.0
20200221,0.0
20200222,0.0
20200223,0.0
20200224,0.0
20200225,0.0
20200226,0.0
20200227,0.0
20200228,0.0
20200229,0.0
20200301,0.0
20200302,0.0
20200303,0.0
20200304,0.0
20200305,0.0
20200306,0.0
20200307,0.0
20200308,0.0
20200309,0.0
20200310,0.0
20200311,1.0
20200312,0.0
20200313,4.0
20200314,4.0
20200315,8.0
20200316,10.0
20200317,16.0
20200318,7.0
20200319,9.0
20200320,13.0
20200321,4.0
20200322,5.0
20200323,15.0
20200324,5.0
20200325,0.0
20200326,4.0
20200327,0.0
20200328,7.0
20200329,4.0
20200330,5.0
20200331,21.0
20200401,3.0
20200402,5.0
20200403,8.0
20200404,7.0
20200405,10.0
20200406,2.0
20200407,7.0
20200408,4.0
20200409,1.0
20200410,0.0
20200411,8.0
20200412,12.0
20200413,7.0
20200414,16.0
20200415,5.0
20200416,0.0
20200417,6.0
20200418,10.0
20200419,17.0
20200420,33.0
20200421,6.0
20200422,20.0
20200423,38.0
20200424,52.0
20200425,40.0
20200426,63.0
20200427,65.0
20200428,31.0
20200429,30.0
20200430,14.0
20200501,27.0
20200502,15.0
20200503,13.0
20200504,33.0
20200505,20.0
20200506,26.0
20200507,27.0
20200508,11.0
20200509,12.0
20200510,16.0
20200511,6.0
20200512,20.0
20200513,26.0
20200514,10.0
20200515,10.0
20200516,25.0
20200517,21.0
20200518,11.0
20200519,35.0
20200520,1.0
20200521,27.0
20200522,13.0
20200523,21.0
20200524,52.0
20200525,41.0
20200526,137.0
20200527,150.0
20200528,61.0
20200529,28.0
20200530,62.0
20200531,13.0
20200601,10.0
20200602,40.0
20200603,66.0
20200604,48.0
20200605,4.0
20200606,13.0
20200607,21.0
20200608,22.0
20200609,2.0
20200610,10.0
20200611,8.0
20200612,3.0
20200613,4.0
20200614,5.0
20200615,16.0
20200616,10.0
20200617,9.0
20200618,23.0
20200619,3.0
20200620,0.0
20200621,0.0
20200622,1.0
20200623,40.0
20200624,10.0
20200625,9.0
20200626,4.0
20200627,19.0
20200628,4.0
20200629,2.0
20200630,8.0
20200701,7.0
20200702,12.0
20200703,3.0
20200704,5.0
20200705,2.0
20200706,1.0
20200707,4.0
20200708,13.0
20200709,60.0
20200710,300.0
20200711,57.0
20200712,106.0
20200713,29.0
20200714,19.0
20200715,6.0
20200716,16.0
20200717,10.0
20200718,6.0
20200719,21.0
20200720,6.0
20200721,0.0
20200722,22.0
20200723,1.0
20200724,11.0
20200725,6.0
20200726,12.0
20200727,23.0
20200728,5.0
20200729,0.0
20200730,4.0
20200731,1.0
20200801,0.0
20200802,8.0
20200803,5.0
20200804,6.0
20200805,5.0
20200806,0.0
20200807,0.0
20200808,2.0
20200809,3.0
20200810,27.0
20200811,9.0
20200812,1.0
20200813,1.0
20200814,4.0
20200815,4.0
20200816,3.0
20200817,7.0
20200818,2.0
20200819,0.0
20200820,16.0
20200821,23.0
20200822,6.0
20200823,6.0
20200824,6.0
20200825,12.0
20200826,13.0
20200827,2.0
20200828,3.0
20200829,6.0
20200830,17.0
20200831,37.0
20200901,43.0
20200902,9.0
20200903,10.0
20200904,4.0
20200905,6.0
20200906,2.0
20200907,0.0
20200908,17.0
20200909,7.0
20200910,8.0
20200911,14.0
20200912,26.0
20200913,39.0
20200914,28.0
20200915,9.0
20200916,0.0
20200917,5.0
20200918,5.0
20200919,2.0
20200920,4.0
20200921,12.0
20200922,14.0
20200923,11.0
20200924,9.0
20200925,12.0
20200926,4.0
20200927,11.0
20200928,3.0
20200929,11.0
20200930,6.0
20201001,2.0
20201002,6.0
20201003,7.0
20201004,7.0
20201005,111.0
20201006,739.0
20201007,207.0
20201008,29.0
