date,positive_rate
20200127,0.03
20200128,0.03
20200129,0.03
20200130,0.03
20200131,0.03
20200201,0.03
20200202,0.03
20200203,0.03
20200204,0.03
20200205,0.03
20200206,0.03
20200207,0.03
20200208,0.03
20200209,0.03
20200210,0.03
20200211,0.03
20200212,0.03
20200213,0.03
20200214,0.03
20200215,0.03
20200216,0.03
20200217,0.03
20200218,0.03
20200219,0.03
20200220,0.03
20200221,0.03
20200222,0.03
20200223,0.03
20200224,0.03
20200225,0.03
20200226,0.03
20200227,0.0
20200228,0.0
20200229,0.0
20200301,0.0
20200302,0.0
20200303,0.0
20200304,0.0
20200305,0.0
20200306,0.0
20200307,0.0
20200308,0.0
20200309,0.0
20200310,0.0
20200311,0.029
20200312,0.018
20200313,0.065
20200314,0.058
20200315,0.078
20200316,0.088
20200317,0.096
20200318,0.09
20200319,0.085
20200320,0.085
20200321,0.08
20200322,0.067
20200323,0.068
20200324,0.057
20200325,0.049
20200326,0.046
20200327,0.032
20200328,0.036
20200329,0.036
20200330,0.026
20200331,0.04
20200401,0.039
20200402,0.036
20200403,0.038
20200404,0.033
20200405,0.033
20200406,0.028
20200407,0.02
20200408,0.019
20200409,0.017
20200410,0.013
20200411,0.013
20200412,0.012
20200413,0.014
20200414,0.017
20200415,0.017
20200416,0.015
20200417,0.015
20200418,0.015
20200419,0.016
20200420,0.022
20200421,0.018
20200422,0.02
20200423,0.025
20200424,0.033
20200425,0.037
20200426,0.042
20200427,0.039
20200428,0.04
20200429,0.038
20200430,0.034
20200501,0.03
20200502,0.025
20200503,0.019
20200504,0.017
20200505,0.015
20200506,0.016
20200507,0.017
20200508,0.014
20200509,0.014
20200510,0.015
20200511,0.012
20200512,0.013
20200513,0.013
20200514,0.011
20200515,0.012
20200516,0.014
20200517,0.015
20200518,0.016
20200519,0.018
20200520,0.014
20200521,0.016
20200522,0.015
20200523,0.013
20200524,0.015
20200525,0.018
20200526,0.027
20200527,0.038
20200528,0.04
20200529,0.044
20200530,0.049
20200531,0.047
20200601,0.045
20200602,0.033
20200603,0.025
20200604,0.024
20200605,0.021
20200606,0.017
20200607,0.017
20200608,0.017
20200609,0.015
20200610,0.01
20200611,0.007
20200612,0.007
20200613,0.007
20200614,0.005
20200615,0.005
20200616,0.006
20200617,0.006
20200618,0.007
20200619,0.007
20200620,0.007
20200621,0.007
20200622,0.005
20200623,0.009
20200624,0.009
20200625,0.007
20200626,0.008
20200627,0.009
20200628,0.01
20200629,0.01
20200630,0.006
20200701,0.006
20200702,0.006
20200703,0.006
20200704,0.005
20200705,0.005
20200706,0.005
20200707,0.004
20200708,0.005
20200709,0.01
20200710,0.044
20200711,0.048
20200712,0.05
20200713,0.052
20200714,0.051
20200715,0.045
20200716,0.039
20200717,0.016
20200718,0.013
20200719,0.007
20200720,0.005
20200721,0.004
20200722,0.005
20200723,0.005
20200724,0.005
20200725,0.005
20200726,0.004
20200727,0.006
20200728,0.007
20200729,0.005
20200730,0.005
20200731,0.005
20200801,0.004
20200802,0.004
20200803,0.002
20200804,0.002
20200805,0.003
20200806,0.002
20200807,0.003
20200808,0.003
20200809,0.002
20200810,0.005
20200811,0.004
20200812,0.003
20200813,0.003
20200814,0.003
20200815,0.003
20200816,0.003
20200817,0.002
20200818,0.001
20200819,0.001
20200820,0.002
20200821,0.003
20200822,0.003
20200823,0.003
20200824,0.003
20200825,0.004
20200826,0.004
20200827,0.004
20200828,0.003
20200829,0.003
20200830,0.003
20200831,0.005
20200901,0.007
20200902,0.007
20200903,0.008
20200904,0.008
20200905,0.008
20200906,0.007
20200907,0.005
20200908,0.003
20200909,0.003
20200910,0.003
20200911,0.004
20200912,0.005
20200913,0.008
20200914,0.01
20200915,0.009
20200916,0.008
20200917,0.008
20200918,0.008
20200919,0.006
20200920,0.004
20200921,0.003
20200922,0.003
20200923,0.004
20200924,0.004
20200925,0.005
20200926,0.005
20200927,0.005
20200928,0.004
20200929,0.004
20200930,0.004
20201001,0.004
20201002,0.003
20201003,0.003
20201004,0.003
20201005,0.012
20201006,0.057
20201007,0.056
20201008,0.049
20201009,0.041
20201010,0.037
20201011,0.034
