date,total_cases
20200127,1.0
20200128,1.0
20200129,1.0
20200130,1.0
20200131,1.0
20200201,1.0
20200202,1.0
20200203,1.0
20200204,1.0
20200205,1.0
20200206,1.0
20200207,1.0
20200208,1.0
20200209,1.0
20200210,1.0
20200211,1.0
20200212,1.0
20200213,1.0
20200214,1.0
20200215,1.0
20200216,1.0
20200217,1.0
20200218,1.0
20200219,1.0
20200220,1.0
20200221,1.0
20200222,1.0
20200223,1.0
20200224,1.0
20200225,1.0
20200226,1.0
20200227,1.0
20200228,1.0
20200229,1.0
20200301,1.0
20200302,1.0
20200303,1.0
20200304,1.0
20200305,1.0
20200306,1.0
20200307,1.0
20200308,1.0
20200309,1.0
20200310,1.0
20200311,2.0
20200312,2.0
20200313,6.0
20200314,10.0
20200315,18.0
20200316,28.0
20200317,44.0
20200318,51.0
20200319,60.0
20200320,73.0
20200321,77.0
20200322,82.0
20200323,97.0
20200324,102.0
20200325,102.0
20200326,106.0
20200327,106.0
20200328,113.0
20200329,117.0
20200330,122.0
20200331,143.0
20200401,146.0
20200402,151.0
20200403,159.0
20200404,166.0
20200405,176.0
20200406,178.0
20200407,185.0
20200408,189.0
20200409,190.0
20200410,190.0
20200411,198.0
20200412,210.0
20200413,217.0
20200414,233.0
20200415,238.0
20200416,238.0
20200417,244.0
20200418,254.0
20200419,271.0
20200420,304.0
20200421,310.0
20200422,330.0
20200423,368.0
20200424,420.0
20200425,460.0
20200426,523.0
20200427,588.0
20200428,619.0
20200429,649.0
20200430,663.0
20200501,690.0
20200502,705.0
20200503,718.0
20200504,751.0
20200505,771.0
20200506,797.0
20200507,824.0
20200508,835.0
20200509,847.0
20200510,863.0
20200511,869.0
20200512,889.0
20200513,915.0
20200514,925.0
20200515,935.0
20200516,960.0
20200517,981.0
20200518,992.0
20200519,1027.0
20200520,1028.0
20200521,1055.0
20200522,1068.0
20200523,1089.0
20200524,1141.0
20200525,1182.0
20200526,1319.0
20200527,1469.0
20200528,1530.0
20200529,1558.0
20200530,1620.0
20200531,1633.0
20200601,1643.0
20200602,1683.0
20200603,1749.0
20200604,1797.0
20200605,1801.0
20200606,1814.0
20200607,1835.0
20200608,1857.0
20200609,1859.0
20200610,1869.0
20200611,1877.0
20200612,1880.0
20200613,1884.0
20200614,1889.0
20200615,1905.0
20200616,1915.0
20200617,1924.0
20200618,1947.0
20200619,1950.0
20200620,1950.0
20200621,1950.0
20200622,1951.0
20200623,1991.0
20200624,2001.0
20200625,2010.0
20200626,2014.0
20200627,2033.0
20200628,2037.0
20200629,2039.0
20200630,2047.0
20200701,2054.0
20200702,2066.0
20200703,2069.0
20200704,2074.0
20200705,2076.0
20200706,2077.0
20200707,2081.0
20200708,2094.0
20200709,2154.0
20200710,2454.0
20200711,2511.0
20200712,2617.0
20200713,2646.0
20200714,2665.0
20200715,2671.0
20200716,2687.0
20200717,2697.0
20200718,2703.0
20200719,2724.0
20200720,2730.0
20200721,2730.0
20200722,2752.0
20200723,2753.0
20200724,2764.0
20200725,2770.0
20200726,2782.0
20200727,2805.0
20200728,2810.0
20200729,2810.0
20200730,2814.0
20200731,2815.0
20200801,2815.0
20200802,2823.0
20200803,2828.0
20200804,2834.0
20200805,2839.0
20200806,2839.0
20200807,2839.0
20200808,2841.0
20200809,2844.0
20200810,2871.0
20200811,2880.0
20200812,2881.0
20200813,2882.0
20200814,2886.0
20200815,2890.0
20200816,2893.0
20200817,2900.0
20200818,2902.0
20200819,2902.0
20200820,2918.0
20200821,2941.0
20200822,2947.0
20200823,2953.0
20200824,2959.0
20200825,2971.0
20200826,2984.0
20200827,2986.0
20200828,2989.0
20200829,2995.0
20200830,3012.0
