date,total_recovered
20200127,0.0
20200128,0.0
20200129,0.0
20200130,0.0
20200131,0.0
20200201,0.0
20200202,0.0
20200203,0.0
20200204,0.0
20200205,0.0
20200206,0.0
20200207,0.0
20200208,1.0
20200209,1.0
20200210,1.0
20200211,1.0
20200212,1.0
20200213,1.0
20200214,1.0
20200215,1.0
20200216,1.0
20200217,1.0
20200218,1.0
20200219,1.0
20200220,1.0
20200221,1.0
20200222,1.0
20200223,1.0
20200224,1.0
20200225,1.0
20200226,1.0
20200227,1.0
20200228,1.0
20200229,1.0
20200301,1.0
20200302,1.0
20200303,1.0
20200304,1.0
20200305,1.0
20200306,1.0
20200307,1.0
20200308,1.0
20200309,1.0
20200310,1.0
20200311,1.0
20200312,1.0
20200313,1.0
20200314,1.0
20200315,1.0
20200316,1.0
20200317,1.0
20200318,1.0
20200319,3.0
20200320,3.0
20200321,1.0
20200322,3.0
20200323,2.0
20200324,2.0
20200325,3.0
20200326,7.0
20200327,7.0
20200328,9.0
20200329,11.0
20200330,15.0
20200331,17.0
20200401,21.0
20200402,21.0
20200403,24.0
20200404,27.0
20200405,33.0
20200406,38.0
20200407,42.0
20200408,44.0
20200409,49.0
20200410,54.0
20200411,54.0
20200412,56.0
20200413,56.0
20200414,61.0
20200415,63.0
20200416,68.0
20200417,77.0
20200418,86.0
20200419,96.0
20200420,98.0
20200421,102.0
20200422,105.0
20200423,107.0
20200424,109.0
20200425,118.0
20200426,120.0
20200427,126.0
20200428,134.0
20200429,136.0
20200430,154.0
20200501,162.0
20200502,172.0
20200503,184.0
20200504,194.0
20200505,213.0
20200506,215.0
20200507,232.0
20200508,240.0
20200509,260.0
20200510,321.0
20200511,343.0
20200512,366.0
20200513,382.0
20200514,445.0
20200515,477.0
20200516,520.0
20200517,538.0
20200518,559.0
20200519,569.0
20200520,584.0
20200521,604.0
20200522,620.0
20200523,660.0
20200524,674.0
20200525,695.0
20200526,712.0
20200527,732.0
20200528,745.0
20200529,754.0
20200530,781.0
20200531,801.0
20200601,811.0
20200602,823.0
20200603,836.0
20200604,839.0
20200605,858.0
20200606,891.0
20200607,941.0
20200608,990.0
20200609,1057.0
20200610,1122.0
20200611,1150.0
20200612,1196.0
20200613,1252.0
20200614,1287.0
20200615,1342.0
20200616,1371.0
20200617,1397.0
20200618,1421.0
20200619,1446.0
20200620,1472.0
20200621,1498.0
